Ind_anon;Indiv_ID;Group;Brain_region;Label;Count;Volume [nm^3];Problematic_zone
1;R12;R;Exterior;0;228489852;955637643.1;
1;R12;R;Lamina;1;26337;110152.0631;
1;R12;R;Medula;2;293510;1227578.39;
1;R12;R;Lobula;3;66457;277950.2472;
1;R12;R;Calyces;4;644024;2693570.73;
1;R12;R;MB_lobe;5;426962;1785729.019;
1;R12;R;Noduli;6;7534;31510.25719;
1;R12;R;PB;7;14628;61180.25514;
1;R12;R;central_complex_body;8;68003;284416.249;
1;R12;R;AL;9;472985;1978215.954;
1;R12;R;MB_lobe2;10;378941;1584885.635;
1;R12;R;RCB;11;5040367;21080868.13;
2;R13;R;Exterior;1;239889583;1783649156;
2;R13;R;Noduli;2;4160;30930.81573;
2;R13;R;Medula;3;184321;1370480.502;
2;R13;R;Lobula;4;54313;403833.0276;
2;R13;R;PB;5;7508;55824.17417;
2;R13;R;central_complex_body;6;36760;273321.3429;
2;R13;R;MB_lobe;7;218891;1627518.555;
2;R13;R;Calyces;8;361427;2687315.37;
2;R13;R;AL;9;308988;2297416.08;
2;R13;R;Lamina;10;10101;75103.88696;
2;R13;R;RCB;11;3015463;22420848.66;
2;R13;R;MB_lobe2;12;226693;1685528.705;
3;W13;W;Exterior;0;184939095;751392941.5;
3;W13;W;Lamina;1;81801;332351.0046;
3;W13;W;Lobula;2;329377;1338232.746;
3;W13;W;Medula;3;76738;311780.4353;
3;W13;W;MB_lobe;4;558441;2268901.693;
3;W13;W;Noduli;5;4548;18478.16492;
3;W13;W;AL;6;921807;3745229.062;
3;W13;W;Calyces;7;885474;3597610.951;
3;W13;W;Central_complex_body;8;81405;330742.0878;
3;W13;W;MB_lobe2;9;444014;1803993.826;
3;W13;W;PB;10;0;0;
3;W13;W;RCB;11;5663860;23011816;
4;N14;N;Exterior;0;224029734;1361804004;
4;N14;N;Lamina;1;19675;119597.9359;
4;N14;N;Calyces;2;536161;3259148.611;
4;N14;N;Lobula;3;60633;368568.3177;
4;N14;N;Medula;4;241161;1465939.407;
4;N14;N;MB_lobe;5;283983;1726240.439;
4;N14;N;MB_lobe2;6;280868;1707305.366;
4;N14;N;Noduli;7;5002;30405.5337;
4;N14;N;central_complex_body;8;57129;347268.6395;
4;N14;N;PB;9;8271;50276.72316;
4;N14;N;AL;10;411402;2500779.163;
4;N14;N;RCB;11;3704125;22516173.03;
5;R14;R;Exterior;0;178666068;1079024709;
5;R14;R;Lamina;1;39105;236168.2982;
5;R14;R;Calyces;2;559222;3377330.471;
5;R14;R;Lobula;3;67024;404780.5657;
5;R14;R;Medula;4;231749;1399610.458;
5;R14;R;MB_lobe;5;287169;1734310.549;
5;R14;R;MB_lobe2;6;305603;1845639.699;
5;R14;R;Noduli;7;4882;29484.04633;
5;R14;R;central_complex_body;8;66913;404110.1992;
5;R14;R;PB;9;11132;67229.90655;
5;R14;R;AL;10;405853;2451083.297;
5;R14;R;RCB;11;3904656;23581535.93;
6;R15;R;Exterior;0;175897690;811206846.1;GNG
6;R15;R;Lamina;1;23416;107990.159;GNG
6;R15;R;Calyces;2;644381;2971763.18;GNG
6;R15;R;Lobula;3;78778;363309.2221;GNG
6;R15;R;Medula;4;260919;1203309.032;GNG
6;R15;R;MB_lobe;5;354152;1633281.977;GNG
6;R15;R;MB_lobe2;6;356411;1643700.058;GNG
6;R15;R;Noduli;7;3876;17875.37821;GNG
6;R15;R;central_complex_body;8;65998;304370.2815;GNG
6;R15;R;PB;9;15266;70403.90191;GNG
6;R15;R;AL;10;457633;2110516.759;GNG
6;R15;R;RCB;11;3245128;14965915.98;GNG
7;W15;W;Exterior;0;149499792;400736692.1;
7;W15;W;Lamina;1;19076;51133.53695;
7;W15;W;Calyces;2;1528303;4096641.744;
7;W15;W;Lobula;3;131152;351555.1288;
7;W15;W;Medula;4;588517;1577529.658;
7;W15;W;MB_lobe;5;886625;2376613.137;
7;W15;W;MB_lobe2;6;733427;1965963.336;
7;W15;W;Noduli;7;11098;29748.37456;
7;W15;W;central_complex_body;8;143989;385964.922;
7;W15;W;PB;9;18477;49527.90743;
7;W15;W;AL;10;1059736;2840640.067;
7;W15;W;RCB;11;8957664;24011168.12;
8;W16;W;Exterior;0;173721426;681032279.5;
8;W16;W;Lamina;1;27343;107191.531;
8;W16;W;Calyces;2;875558;3432410.58;
8;W16;W;Lobula;3;84468;331136.0948;
8;W16;W;Medula;4;387953;1520874.667;
8;W16;W;MB_lobe;5;512311;2008389.732;
8;W16;W;MB_lobe2;6;495479;1942404;
8;W16;W;Noduli;7;7862;30821.04438;
8;W16;W;central_complex_body;8;78656;308351.573;
8;W16;W;PB;9;12327;48324.98272;
8;W16;W;AL;10;666520;2612928.326;
8;W16;W;RCB;11;5582321;21884121.51;
9;W17;W;Exterior;0;246024056;741107945.8;
9;W17;W;Lamina;1;16678;50239.79574;
9;W17;W;Calyces;2;1285735;3873070.139;
9;W17;W;Lobula;3;109224;329019.7536;
9;W17;W;Medula;4;544558;1640393.494;
9;W17;W;MB_lobe;5;697972;2102528.523;
9;W17;W;MB_lobe2;6;629536;1896376.067;
9;W17;W;Noduli;7;7327;22071.41044;
9;W17;W;central_complex_body;8;104944;316126.9411;
9;W17;W;PB;9;9994;30105.3195;
9;W17;W;AL;10;937959;2825450.808;
9;W17;W;RCB;11;7581713;22838692.44;
10;R17;R;Exterior;0;198699430;1268163711;
10;R17;R;Lamina;1;15801;100847.0673;
10;R17;R;Calyces;2;360148;2298580.444;
10;R17;R;Lobula;3;47958;306083.3905;
10;R17;R;Medula;4;212411;1355675.363;
10;R17;R;MB_lobe;5;243093;1551497.762;
10;R17;R;MB_lobe2;6;239455;1528278.875;
10;R17;R;Noduli;7;4646;29652.26724;
10;R17;R;central_complex_body;8;43885;280088.1937;
10;R17;R;PB;9;9862;62942.45793;
10;R17;R;AL;10;319320;2038003.008;
10;R17;R;RCB;11;3227735;20600443.57;
11;N18;N;Exterior;0;188170967;1399106131;
11;N18;N;Lamina;1;10309;76650.42774;
11;N18;N;Calyces;2;347649;2584871.913;
11;N18;N;Lobula;3;35414;263313.4395;
11;N18;N;Medula;4;151117;1123599.058;
11;N18;N;MB_lobe;5;192325;1429992.581;
11;N18;N;MB_lobe2;6;177835;1322255.196;
11;N18;N;Noduli;7;3339;24826.4408;
11;N18;N;central_complex_body;8;41215;306445.5698;
11;N18;N;PB;9;4049;30105.4983;
11;N18;N;AL;10;247001;1836524.62;
11;N18;N;RCB;11;2508188;18649110.78;
12;R19;R;Exterior;0;166571341;1045975206;
12;R19;R;Lamina;1;0;0;
12;R19;R;Calyces;2;456131;2864248.518;
12;R19;R;Lobula;3;68906;432691.2847;
12;R19;R;Medula;4;232434;1459556.005;
12;R19;R;MB_lobe;5;245835;1543706.818;
12;R19;R;MB_lobe2;6;231242;1452070.909;
12;R19;R;Noduli;7;3498;21965.49087;
12;R19;R;central_complex_body;8;43495;273124.364;
12;R19;R;PB;9;9767;61331.3177;
12;R19;R;AL;10;303195;1903895.656;
12;R19;R;RCB;11;2752044;17281302.85;
13;N19;N;Exterior;0;122335750;288893630.8;
13;N19;N;Lamina;1;23603;55738.05178;
13;N19;N;Calyces;2;904527;2136023.927;
13;N19;N;Lobula;3;83017;196043.1235;
13;N19;N;Medula;4;332444;785060.4112;
13;N19;N;MB_lobe;5;476733;1125796.239;
13;N19;N;MB_lobe2;6;495442;1169977.2;
13;N19;N;Noduli;7;7632;18022.82808;
13;N19;N;central_complex_body;8;107021;252728.1294;
13;N19;N;PB;9;18150;42860.89225;
13;N19;N;AL;10;741654;1751402.324;
13;N19;N;RCB;11;6594603;15573034.08;
14;N20;N;Exterior;0;175551971;507082659.1;
14;N20;N;Lamina;1;24432;70571.94207;
14;N20;N;Calyces;2;972178;2808140.533;
14;N20;N;Lobula;3;97227;280840.6275;
14;N20;N;Medula;4;403860;1166551.429;
14;N20;N;MB_lobe;5;535532;1546886.595;
14;N20;N;MB_lobe2;6;496351;1433712.1;
14;N20;N;Noduli;7;9242;26695.55864;
14;N20;N;central_complex_body;8;113350;327411.9857;
14;N20;N;PB;9;19823;57258.82481;
14;N20;N;AL;10;915193;2643539.104;
14;N20;N;RCB;11;7507369;21685069.18;
15;W20;W;Exterior;0;144469517;417300850.7;
15;W20;W;Lamina;1;19703;56912.20427;
15;W20;W;Calyces;2;1365731;3944920.146;
15;W20;W;Lobula;3;98088;283327.6299;
15;W20;W;Medula;4;468258;1352565.343;
15;W20;W;MB_lobe;5;751791;2171551.69;
15;W20;W;MB_lobe2;6;729687;2107704.187;
15;W20;W;Noduli;7;13079;37778.75042;
15;W20;W;central_complex_body;8;107533;310609.555;
15;W20;W;PB;9;17280;49913.35785;
15;W20;W;AL;10;938465;2710760.38;
15;W20;W;RCB;11;8307268;23995581.04;
16;R21;R;Exterior;0;192429826;971968120.6;
16;R21;R;Lamina;1;16822;84968.36516;
16;R21;R;Calyces;2;698570;3528495.473;
